County,Lat,Long,bimaculatus total,griseocollis total,impatiens total,fervidus total,borealis total,rufocinctus total,pensylvanicus total,vagans total,ternarius total,perplexus total,citrinus total,auricomus total,terricola total,flavidus total
Bruce,44.10639585,-81.53043225,37.0,39.0,48.0,2.0,15.0,27.0,1.0,14.0,0.0,1.0,4.0,0.0,0.0,0.0
Chatham-Kent,42.340786888888886,-81.88891172222222,17.0,76.0,89.0,4.0,0.0,0.0,2.0,53.0,0.0,0.0,34.0,0.0,0.0,0.0
Elgin,42.73202407142857,-75.42296792857142,161.0,46.0,157.0,6.0,2.0,10.0,0.0,37.0,0.0,16.0,7.0,0.0,0.0,0.0
Essex,42.21901302777778,-82.53459463888889,66.0,259.0,394.0,34.0,0.0,8.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0
Halton,43.289927,-79.876125,14.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huron,43.7652864,-81.67972280000001,170.0,23.0,77.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0
Lambton,43.04353233333333,-81.98388688888889,33.0,56.0,110.0,6.0,0.0,1.0,0.0,24.0,0.0,0.0,15.0,0.0,0.0,0.0
Middlesex,43.013267959459455,-81.37350312162162,433.0,388.0,521.0,18.0,9.0,43.0,5.0,67.0,2.0,3.0,17.0,0.0,0.0,1.0
Niagara,43.14681995652174,-79.52415391304348,28.0,20.0,72.0,8.0,6.0,10.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
Oxford,43.167057684210526,-80.77622021052632,195.0,44.0,411.0,2.0,1.0,43.0,0.0,16.0,0.0,2.0,5.0,0.0,1.0,0.0
Perth,43.32056318181819,-81.21178654545454,121.0,72.0,125.0,9.0,16.0,19.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0
Waterloo,43.4698124,-80.4836012,28.0,1.0,66.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellington,43.59828543478261,-80.51136013043478,54.0,19.0,89.0,1.0,7.0,7.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0
Wentworth,43.297444,-79.9884420625,58.0,10.0,140.0,2.0,0.0,8.0,1.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0
